source,source_row_id,name,email,phone,city,verified,projects_completed
source3_cbnexus,0,Rohit Nair,,9000000268,Gurugram,True,13
source3_cbnexus,1,Ritu Sharma,,9000000146,Noida,True,15
source3_cbnexus,2,Priya Saxena,,9000000231,Delhi,False,12
source3_cbnexus,3,Arjun Mehta,,9000000131,Noida,False,9
source3_cbnexus,4,Nikhil Mehta,,9000000104,Pune,True,10
source3_cbnexus,5,Rahul Malhotra,,9000000260,Delhi,False,4
source3_cbnexus,6,Deepak Mehta,,9000000116,Noida,True,11
source3_cbnexus,7,Sahil Malhotra,,9000000143,Noida,False,0
source3_cbnexus,8,Shreya Gupta,,9000000227,Noida,True,13
source3_cbnexus,9,Priya Singh,,9000000287,Gurugram,True,3
source3_cbnexus,10,Varun Jain,,9000000263,Pune,True,14
source3_cbnexus,11,Tanvi Agarwal,,9000000148,Pune,False,3
source3_cbnexus,12,Karan Bhatia,,9000000211,Noida,True,2
source3_cbnexus,13,Arjun Mishra,,9000000106,Delhi,False,10
source3_cbnexus,15,Isha Kapoor,,9000000295,Delhi,True,6
source3_cbnexus,16,Isha Chopra,,9000000138,Pune,False,7
source3_cbnexus,17,Meera Bhatia,,9000000223,Delhi,False,4
source3_cbnexus,18,Vikram Saxena,,9000000113,Gurugram,False,15
source3_cbnexus,19,Rahul Chopra,,9000000137,Noida,False,10
source3_cbnexus,20,Tanvi Gupta,,9000000254,Bengaluru,False,14
source3_cbnexus,21,Varun Saxena,,9000000170,Gurugram,True,1
source3_cbnexus,22,Sneha Chopra,,9000000162,Pune,False,14
source3_cbnexus,23,Deepak Nair,,9000000296,Bengaluru,True,2
source3_cbnexus,24,Gaurav Mehta,,9000000133,Bengaluru,False,1
source3_cbnexus,25,Neha Bhatia,,9000000273,Pune,False,10
source3_cbnexus,26,Arjun Mehta,,9000000272,Noida,True,14
source3_cbnexus,27,Manish Bhatia,,9000000161,Noida,True,5
source3_cbnexus,28,Divya Chopra,,9000000111,Noida,False,5
source3_cbnexus,29,Karan Chopra,,9000000245,Pune,False,10
source3_cbnexus,30,Vikram Mehta,,9000000261,Pune,True,2
